2026-01-15 21:23:51.526 [info] Using Cloud Code URL: https://daily-cloudcode-pa.googleapis.com
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientMainService] Starting browser onboarding server
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientServer] Browser onboarding server started on http://localhost:58192
2026-01-15 21:23:51.526 [info] update#setState idle
2026-01-15 21:23:52.553 [error] Error: invalid_grant
    at Gaxios._request (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\gaxios\build\cjs\src\gaxios.js:154:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async OAuth2Client.refreshTokenNoCache (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\google-auth-library\build\src\auth\oauth2client.js:259:19)
2026-01-15 21:23:52.558 [error] Error initializing AntigravityAuthMainService: invalid_grant
2026-01-15 21:30:13.893 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:16.906 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:19.911 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:22.930 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:25.941 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:28.939 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:31.947 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:34.956 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:37.952 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:40.969 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:43.975 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:46.972 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:49.990 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:52.997 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:55.990 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:58.998 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:02.010 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:05.027 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:08.037 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:11.055 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:14.040 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:17.061 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:20.051 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:23.076 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:26.081 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:29.087 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:32.094 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:35.102 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:38.108 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:41.123 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:44.137 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:47.148 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:50.148 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:53.151 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:56.153 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:31:59.161 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:02.173 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:05.186 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:08.188 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:11.243 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:14.210 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:17.194 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:20.231 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:23.220 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:26.225 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:29.226 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:32.294 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:35.292 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:38.305 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:41.310 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:44.338 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:47.337 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:50.342 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:53.373 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:56.359 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:32:59.362 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:02.364 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:05.367 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:08.379 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:11.384 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:14.396 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:17.404 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:20.417 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:23.437 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:26.439 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:29.444 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:32.460 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:35.457 [error] Failed to fetch NUXes: invalid_grant
